expanded_review_ref,title,doi,previous_verdict,previous_reason
2,"Benchmarking Detection Transfer Learning with Vision Transformers","10.48550/arXiv.2111.11429",dont_know,"Ambiguous generated regex evidence"
3,"PeCo: Perceptual Codebook for BERT Pre-training of Vision Transformers","10.48550/arXiv.2111.12710",dont_know,"Ambiguous generated regex evidence"
4,"MC-SSL0.0: Towards Multi-Concept Self-Supervised Learning","10.48550/arXiv.2111.15340",dont_know,"Ambiguous generated regex evidence"
6,"A Framework for Evaluating the Efficacy of Foundation Embedding Models in Healthcare","10.1101/2024.04.17.24305983",yes,"Weak generated regex evidence"
10,"SLOTMFound: Foundation-Based Diagnosis of Multiple Sclerosis Using Retinal SLO Imaging and OCT Thickness-maps","10.1101/2025.07.14.25331522",yes,"Weak generated regex evidence"
11,"From Slices to Volumes: A Scalable Pipeline for Developing General-Purpose Brain MRI Foundation Models","10.1101/2025.04.12.25325728",yes,"Weak generated regex evidence"
12,"Point-BERT: Pre-training 3D Point Cloud Transformers with Masked Point Modeling","10.48550/arXiv.2111.14819",yes,"Weak generated regex evidence"
14,"Geometric deep learning improves generalizability of MHC-bound peptide predictions","10.1038/s42003-024-07292-1",dont_know,"Ambiguous generated regex evidence"
15,"Learning Neighborhood-Scale Cross-Dependencies Among Air Pollutants, Meteorology and Land Cover Using Mobile Sensing and Transformers","10.21203/rs.3.rs-8011461/v1",dont_know,"No abstract available"
22,"A robust multi-scale clustering framework for single-cell RNA-seq data analysis","10.1038/s41598-025-03603-6",no,"No generated target-usage evidence"
30,"Contrastive Learning for Sign Language Recognition and Translation","10.24963/IJCAI.2023/85",yes,"Weak generated regex evidence"
31,"View-label driven cross-space structure alignment for incomplete multi-view partial multi-label classification","10.1007/s44443-025-00130-2",yes,"Weak generated regex evidence"
32,"PillarNeSt: Embracing Backbone Scaling and Pretraining for Pillar-Based 3D Object Detection","10.1109/TIV.2024.3386576",yes,"Weak generated regex evidence"
33,"A foundation model for generalized brain MRI analysis","10.1101/2024.12.02.24317992",dont_know,"Ambiguous generated regex evidence"
34,"Vision Transformer Autoencoders for Unsupervised Representation Learning: Revealing Novel Genetic Associations through Learned Sparse Attention Patterns","10.1101/2025.03.24.25324549",dont_know,"Ambiguous generated regex evidence"
35,"PBSCR: The Piano Bootleg Score Composer Recognition Dataset","10.5334/tismir.185",yes,"Weak generated regex evidence"
