expanded_review_ref,title,doi,text_file,previous_verdict,fulltext_verdict,verdict_changed,fulltext_evidence_summary
2,"Benchmarking Detection Transfer Learning with Vision Transformers","10.48550/arXiv.2111.11429","W3216272314.txt",dont_know,yes,yes,"Full text states MAE ViT-B/ViT-L weights pretrained by the MAE authors are used and benchmarked for COCO detection/segmentation transfer."
3,"PeCo: Perceptual Codebook for BERT Pre-training of Vision Transformers","10.48550/arXiv.2111.12710","W3215434919.txt",dont_know,yes,yes,"Full text compares PeCo with MAE and introduces PeCoMAE by adopting the MAE framework/asymmetric encoder-decoder design."
4,"MC-SSL0.0: Towards Multi-Concept Self-Supervised Learning","10.48550/arXiv.2111.15340","W3215200098.txt",dont_know,yes,yes,"Full text says the proposed SSL framework is based on GMML for masked autoencoder ideas and cites He et al. for masked-autoencoder pretext learning."
6,"A Framework for Evaluating the Efficacy of Foundation Embedding Models in Healthcare","10.1101/2024.04.17.24305983","W4394963948.txt",yes,yes,no,"Full text evaluates vision embedding models that include ViT models trained with Masked Autoencoders."
10,"SLOTMFound: Foundation-Based Diagnosis of Multiple Sclerosis Using Retinal SLO Imaging and OCT Thickness-maps","10.1101/2025.07.14.25331522","W4412435246.txt",yes,yes,no,"Full text describes RETFound/MAE pretraining and says SLOFound uses masked image modeling with a masked autoencoder architecture."
11,"From Slices to Volumes: A Scalable Pipeline for Developing General-Purpose Brain MRI Foundation Models","10.1101/2025.04.12.25325728","W4409425536.txt",yes,yes,no,"Full text includes MAE-ViT among slice foundation models and reports downstream MRI task evaluation."
12,"Point-BERT: Pre-training 3D Point Cloud Transformers with Masked Point Modeling","10.48550/arXiv.2111.14819","W3217247671.txt",yes,yes,no,"Full text cites MAE as a masked-autoencoder strategy and adapts masked modeling to point clouds with masked point modeling and reconstruction."
14,"Geometric deep learning improves generalizability of MHC-bound peptide predictions","10.1038/s42003-024-07292-1","W4405577048.txt",dont_know,dont_know,no,"Full text cites MAE as an SSL example and uses masked residue prediction, but the evidence does not show direct MAE architecture/model use."
15,"Learning Neighborhood-Scale Cross-Dependencies Among Air Pollutants, Meteorology and Land Cover Using Mobile Sensing and Transformers","10.21203/rs.3.rs-8011461/v1","W4416608545.txt",dont_know,yes,yes,"Full text trains a transformer-based masked autoencoder to impute masked pollutant/meteorology maps, with synthetic pretraining and field-data fine-tuning."
22,"A robust multi-scale clustering framework for single-cell RNA-seq data analysis","10.1038/s41598-025-03603-6","W4410780702.txt",no,no,no,"Full text discusses and benchmarks against scMAE, but the proposed method is scMSCF rather than MAE-based."
30,"Contrastive Learning for Sign Language Recognition and Translation","10.24963/IJCAI.2023/85","W4385768030.txt",yes,yes,no,"Full text explicitly says random visual masking is added inspired by MAE to improve visual representation learning."
31,"View-label driven cross-space structure alignment for incomplete multi-view partial multi-label classification","10.1007/s44443-025-00130-2","W4413077060.txt",yes,yes,no,"Full text proposes an autoencoder and random masking strategy inspired by He et al. for missing-view reconstruction."
32,"PillarNeSt: Embracing Backbone Scaling and Pretraining for Pillar-Based 3D Object Detection","10.1109/TIV.2024.3386576","W4394627503.txt",yes,no,yes,"Full text only mentions masked image modeling/MAE as possible future generative pretraining; implemented method uses ConvNeXt-style image-domain pretraining."
33,"A foundation model for generalized brain MRI analysis","10.1101/2024.12.02.24317992","W4404946452.txt",dont_know,no,yes,"Full text states BrainIAC uses SimCLR-based contrastive pretraining; MAE is cited only as a possible newer SSL framework/future direction."
34,"Vision Transformer Autoencoders for Unsupervised Representation Learning: Revealing Novel Genetic Associations through Learned Sparse Attention Patterns","10.1101/2025.03.24.25324549","W4408841492.txt",dont_know,dont_know,no,"Full text cites MAE and uses a ViT autoencoder with reconstruction, but the evidence supports MAE-adjacent autoencoding rather than masked-autoencoder use."
35,"PBSCR: The Piano Bootleg Score Composer Recognition Dataset","10.5334/tismir.185","W4402542094.txt",yes,no,yes,"Full text mentions ViT-MAE/masked autoencoding as an open future research question; reported baselines use GPT-2/RoBERTa-style pretraining, not MAE."
